"term","type","domain","category","severity","platforms","why","example","pattern","sources"
"cacophony","word","both","abstract-noun","medium","ChatGPT; Suno; shared","Tapestry-noun cluster. AI's upscale word for 'a lot of noise/things at once' ('a cacophony of emotions'). Used to sound erudite; rarely a literal sound description.","a cacophony of memories crashing in my head",,"lyric:abstract"
"chaos","word","both","abstract-noun","medium","Suno; Udio","Catch-all abstraction for disorder. AI labels any turbulence 'chaos' ('beautiful chaos / chaos in my heart') instead of depicting it — content-free intensity marker.","you're the calm inside my beautiful chaos",,"lyric:abstract"
"depths/depth","word","both","abstract-noun","medium","Suno; Udio","AI's reflexive interiority word ('the depths of my soul / plumbing the depths'). Signals profundity-by-assertion; almost always paired with another abstraction like soul/heart/despair.","from the depths of my despair I rise",,"lyric:abstract"
"euphoria","word","both","abstract-noun","medium","Suno; Udio","Naming-the-emotion-instead-of-evoking-it tell. AI states 'euphoria' as a label for joy; real lyrics show the body/scene. Part of the abstract-emotion-noun pile.","lost in euphoria, we touch the sky",,"lyric:abstract"
"grace","word","both","abstract-noun","medium","Suno; Udio","Tonal-prestige noun. AI reaches for 'grace' to sound elevated/spiritual ('with grace / saving grace / fall from grace'). Content-free elegance signal that rhymes easily with face/place/space.","You move with grace through all my broken dreams",,"lyric:abstract; genre:folk-indie"
"infinity","word","both","abstract-noun","medium","Suno; Udio","Scale-grandiosity filler like eternity. AI reaches for 'to infinity / infinity in your eyes' to sound boundless without specifying anything; rhymes and emotes for free.","I see infinity inside your eyes tonight",,"lyric:abstract"
"kaleidoscope","word","both","abstract-noun","medium","ChatGPT; Suno; chatgpt; claude; general; shared","Tapestry-noun cluster. 'A kaleidoscope of colors/emotions' is AI's fancy synonym for 'lots of changing things.' Ornate and content-free — flagged as borrowed grandeur.","a kaleidoscope of feelings I can't name",,"lyric:abstract"
"labyrinth","word","both","abstract-noun","medium","ChatGPT; Suno; Udio; chatgpt; claude; general","Listed in the 'tapestry nouns' cluster. AI's go-to metaphor for any complicated or confusing thing ('labyrinth of the mind/heart'). Sounds literary but is a default, not an observation.","lost in the labyrinth of my own mind",,"lyric:abstract"
"melancholy","word","both","abstract-noun","medium","Suno; Udio","Upscale label for sadness. AI prefers the literary noun 'melancholy' over concrete grief because it's tonally elegant and content-free — telling rather than showing.","a quiet melancholy settles in my chest",,"lyric:abstract"
"mosaic","word","both","abstract-noun","medium","ChatGPT; Suno; chatgpt; claude; general","A 'tapestry noun' synonym — borrowed-grandeur container for 'a mix of things.' AI deploys 'a mosaic of...' as an interchangeable fancy word for variety, with no actual tile/image in mind.","a mosaic of memories painted in the dark",,"lyric:abstract"
"oblivion","word","both","abstract-noun","medium","Suno; Udio","High-drama abstraction for being forgotten/erased. AI uses 'fading into oblivion / dancing on oblivion' as ready-made grandeur for loss, far heavier than any real moment warrants.","we fade into oblivion, hand in hand",,"lyric:abstract"
"paradise","word","both","abstract-noun","medium","Suno; Udio","Stakes-inflation bliss noun. AI elevates any good feeling to 'paradise' ('lost in paradise / you're my paradise') because it's maximally positive and rhymes with eyes/skies cluster.","in your arms I found my paradise",,"lyric:abstract"
"redemption","word","both","abstract-noun","medium","Suno; Udio","Grand moral-arc noun. AI frames ordinary recovery as 'redemption' ('road to redemption / finding redemption') for epic/spiritual weight it hasn't earned in the lyric.","walking the road to my redemption",,"lyric:abstract"
"resonance","word","both","abstract-noun","medium","ChatGPT; Suno","Noun form of Kobak focal word 'resonate.' AI claims things have 'a deep resonance' to assert emotional impact abstractly rather than showing it land.","your words carry a resonance I can't escape",,"lyric:abstract"
"reverie","word","both","abstract-noun","medium","Suno; Udio; shared","Upscale literary word for daydream AI inserts to signal sophistication. 'Lost in reverie' is a default elegance flourish that reads as machine-borrowed vocabulary.","adrift in a reverie of golden days",,"lyric:abstract"
"scars","word","both","abstract-noun","medium","Suno; Udio","On Suno cliche-checker lists. AI's reflexive metaphor for emotional damage ('scars that never heal / invisible scars'). Templated wound imagery for trauma it won't specify.","these scars remind me of the love we lost",,"lyric:abstract"
"serenity","word","both","abstract-noun","medium","Suno; Udio","Calm-state prestige noun. AI labels peace 'serenity' rather than showing it, because the abstract word is higher-status and rhymes with eternity/destiny in its preferred cluster.","finding serenity beneath the silver moon",,"lyric:abstract"
"solitude","word","both","abstract-noun","medium","Suno; Udio","Prestige synonym for loneliness AI reaches for to sound poetic. 'In my solitude' is a default abstraction standing in for an actual lonely scene.","in my solitude I whisper to the stars",,"lyric:abstract"
"surrender","word","both","abstract-noun","medium","Suno; Udio; ChatGPT","A grandiose abstract verb the model favors for romance/spirituality; humans rarely sing 'I surrender to the moment' unironically, so it flags the inflated AI register.","I surrender to the rhythm of the rain",,"lyric:abstract; lyric:verbs"
"yearning","word","both","abstract-noun","medium","Suno; Udio","Naming-the-longing tell. AI states 'yearning' as an abstract noun for desire instead of dramatizing want; high-frequency in machine love lyrics as a label.","a yearning deep within my restless heart",,"lyric:abstract"
"ephemera","word","both","abstract-noun","low","Suno; Udio","AI loves the fleeting/transient theme; 'ephemera' and 'the ephemeral' are upscale abstractions for impermanence it reaches for to sound deep without a concrete passing thing.","we are ephemera, here then gone",,"lyric:abstract"
"abstract-noun stacking (strength, courage, freedom, destiny)","structure","both","abstraction","high","Suno; Udio; ChatGPT","AI piles capitalized abstractions instead of concrete sensory detail; a line like 'with strength and courage I'll find my destiny' is pure abstraction-stacking with no image to grab, a hallmark of generated lyrics.","With strength and courage, I'll claim my destiny",,"lyric:tropes"
"soul / souls","word","both","abstraction","high","Suno; Udio","Listed by the zoetic Suno study as auto-repeated ('velvet, souls, night'). Vollmer flags the pivot to 'the soul' as abstraction drift — the model retreats to soul when it has no concrete image.","Two souls lost in the night",,"lyric:atmosphere"
"tapestry / woven","word","both","academic-AI crossover","high","Suno; Udio; ChatGPT","The single most notorious ChatGPT tell (one editor: it's never used innocently); when 'tapestry of [life/dreams]' or 'woven' appears in lyrics it screams LLM lyric-writing.","A tapestry of love and pain",,"genre:folk-indie"
"resonate / it resonates","word","both","academic-AI crossover","medium","ChatGPT; Suno","On the 21 ChatGPT 'focal words' spike list; 'resonate' is LLM register, conspicuous in lyrics where a plainer word would fit.","These words still resonate in me",,"genre:folk-indie"
"storm-as-hardship / weathering metaphor","trope","both","adversity","high","Suno; Udio; ChatGPT","The model's single most reflexive adversity metaphor: any difficulty becomes a storm to survive (rain, thunder, weathering, eye of the storm). Its sheer frequency across AI outputs makes the whole storm frame a giveaway.","When the storms of life come crashing down",,"lyric:phrases-struggle"
"weathering the storm","trope","both","adversity","medium","Suno; Udio; ChatGPT","AI almost always renders hardship as literal weather (storm/rain/thunder) because it's the most generic, emotionally-legible metaphor available; the storm is never tied to a concrete event.","We'll weather the storm together",,"lyric:tropes"
"through the storm","phrase","both","adversity metaphor","medium","Suno; Udio","Stock adversity metaphor for relationship endurance; the model's default 'hard times' image, used in place of any specific struggle.","I'll love you through the storm and rain",,"genre:rnb-ballad"
"writing my own story / rewriting the ending","trope","both","agency","high","Suno; Udio; ChatGPT","The meta 'life-as-a-book' agency image is an AI favorite because it's flattering and theme-agnostic; 'rewrite the ending' is a self-contained empowerment cliché.","I'm writing my own story, rewriting the end",,"lyric:tropes"
"it's not just X, it's Y","trope","both","AI rhetorical pattern","high","Wikipedia Signs of AI; robotsatemyhomework; meetalex","The defining AI antithesis structure ('not just a lipstick, an attitude'). Bleeds into both ad-copy and lyrics; its repeated negate-then-elevate shape is one of the most recognizable AI cadences.","It's not just a song, it's a feeling",,"udio:giveaways"
"rule of three (forced third item)","structure","both","AI rhetorical pattern","medium","Wikipedia Signs of AI; huntingthemuse","AI compulsively completes lists to three even when two suffice, and stacks adjective-adjective-adjective. The mechanical triple — in prose lists or lyric lines — is a structural fingerprint independent of vocabulary.","It's bold, beautiful, and unforgettable",,"udio:giveaways"
"resonate / resonates","word","both","AI word-spike","high","ChatGPT; Suno; Udio; arXiv study","Directly identified in the 'Why does ChatGPT delve so much' focal-word study; bleeds into lyrics as 'let it resonate,' an academic-register word that exposes the model's training accent.","Let the silence resonate within",,"genre:rock-metal; suno:giveaways"
"whisper / whispers","word","both","AI word-spike","high","Suno; Udio; ChatGPT","Explicitly cited by AI-lyric critics as imagery that 'appears in every song.' AI uses whisper as a soft-dynamic contrast word that sounds poetic but is now an instant generator fingerprint.","I hear the whispers calling out my name",,"genre:rock-metal; genre:edm-pop"
"embrace the / embrace","word","both","AI word-spike","medium","ChatGPT; Suno; Udio","AI's favorite uplifting transitive verb (embrace the pain/darkness/light); flagged in overused-word lists. In lyrics it pairs with an abstract noun to fake a resolution.","Embrace the darkness, let it set you free",,"genre:rock-metal"
"""It's not just X, it's Y"" / ""not only... but also""","structure","both","AI-prose rhetorical frame","high","Wikipedia Signs of AI Writing; AI-tell guides","A signature ChatGPT antithesis frame flagged across AI-tell guides. The model uses this rhetorical seesaw to manufacture emphasis; its repetition is a hallmark of generated text and increasingly bleeds into hook lyrics.",,,"suno:giveaways"
"realm ('in the realm of')","word","both","AI-prose vocabulary spike","medium","arXiv study","Documented ChatGPT focal word; an inflated synonym for 'area/field' that also crosses into lyrics for grandiose effect.",,,"suno:giveaways"
"dreams/seems","rhyme_pair","both","ambition","high","Suno; Udio; ChatGPT","'Chase my dreams' + 'nothing what it seems' — the -eem(s) family carries the model's ambition narrative. 'Chasing dreams' and 'shattered dreams' (named in cliché lists) are the most over-deployed aspiration phrases in AI songwriting, signalling poster-grade sentiment.","Chasing all my dreams / Nothing what it seems",,"rhyme:rap"
"Climb to the top / reach for the stars","trope","both","ambition/aspiration","high","Suno; Udio; ChatGPT","Inspirational-poster ambition imagery; AI's positivity bias imports motivational-speaker metaphors (climb, stars, sky's the limit) that are tonally off for rap and signal generation.","I'm climbing to the top, reaching for the stars",,"genre:hiphop-themes"
"Sky's the limit","phrase","both","ambition/aspiration","medium","Suno; Udio; ChatGPT","Dead-idiom ambition filler; though Biggie used it ironically, AI deploys it straight as a generic aspiration cap, an instantly recognizable greeting-card phrase.","The sky's the limit, I can't be stopped",,"genre:hiphop-themes"
"Eyes on the prize","phrase","both","ambition/aspiration","low","Suno; Udio; ChatGPT","Motivational idiom imported wholesale; AI uses 'eyes on the prize' as a focus cliché that reads as coaching-speak rather than rap, a tonal mismatch tell.","Keep my eyes on the prize, never lose focus",,"genre:hiphop-themes"
"dusty road / dusty roads","phrase","both","Americana imagery","high","Suno; Udio; r/SunoAI","Default 'journey/hardship' setting in AI Americana; the road is always 'dusty' because the model has learned that adjective as the marker of folk authenticity.","Walking down a dusty road",,"genre:folk-indie"
"it's not just X, it's Y","structure","both","antithesis scaffold","high","ChatGPT; Suno; Claude; Gemini; OpenAI Developer Forum; Genius; r/ChatGPT; blakestockton.com; LinkedIn; brand copy; ads; Rossmann no-slop rules","Identified on tropes.fyi and Hacker News as the single most common AI tell: a contrast template that creates false profundity by framing every point as a surprising reframe. People did not write this at scale before LLMs; likely reinforced by RLHF/RLVR reward shaping.","It's not just a song, it's a feeling",,"rhyme:common; prose:chatgpt-words; prose:transitions; prose:structures; prose:marketing; prose:formatting"
"chasing my dreams","trope","both","aspiration","high","Suno; Udio; ChatGPT","The most generic possible aspiration image; AI uses 'chase my dreams' as a placeholder for any goal because it commits to nothing concrete.","I'm chasing my dreams, I won't give up",,"lyric:tropes"
"reaching for the stars","trope","both","aspiration","high","Suno; Udio; ChatGPT","Top cosmic-imagery default flagged in Suno guides; 'reach for the stars' is ambition-by-cliché, a borrowed grandeur with no specific aim.","Reaching for the stars, I'll touch the sky",,"lyric:tropes"
"chase your dreams / follow your dreams","phrase","both","aspiration","medium","Suno; Udio; ChatGPT","The flattest aspiration verb-phrase in pop. AI defaults to it for any motivational prompt; 'dreams' as an undefined goal-object is a community-flagged marker of generated uplift.","Just chase your dreams and never let them go",,"lyric:phrases-struggle"
"high/sky","rhyme_pair","both","aspiration","medium","Suno; Udio; Verse Nurse","Companion to sky/fly — 'reaching so high / touching the sky' is AI's elevation cliché. Two near-identical vowel sounds with no concrete payoff, pure motivational filler.","I'm reaching up so high / I can touch the sky",,"rhyme:more; genre:edm-pop; suno:giveaways"
"reach for the stars","phrase","both","aspiration","medium","Suno; Udio; ChatGPT","Greeting-card ambition idiom. The model treats it as a synonym for 'aim high' with no fresh image; its predictability is precisely why it surfaces in nearly every AI motivational chorus.","Reach for the stars and never look back",,"lyric:phrases-struggle"
"Chasing dreams / Chasing the horizon","phrase","both","aspiration cliché","medium","Suno; Udio; ChatGPT","'Chasing ___' aspiration frame is the model's default forward-motion image; 'dreams' and 'horizon' are the highest-probability objects, making the whole construction formulaic.","Chasing dreams across the open sky",,"lyric:openers-closers"
"reaching for the stars","phrase","both","aspiration cliché","medium","Suno; Udio","Dead-metaphor aspiration line; AI reaches for it as a safe uplift gesture, and it tends to drag in 'sky's the limit' / 'shoot for the moon' neighbors.","We're reaching for the stars tonight",,"genre:rnb-ballad"
"shadow/echo","rhyme_pair","both","atmosphere","high","Suno; Udio; ChatGPT","Not a true rhyme but a paired-imagery tell; 'shadows' and 'echoes' are AI's two favorite atmosphere nouns (called out by the Suno cliché checker) and constantly co-occur to fake depth.","Lost in the shadows / chasing the echoes",,"rhyme:common"
"whisper","word","both","atmosphere vocabulary","medium","ChatGPT; Suno; Udio; shared","AI overuses 'whisper' as its default low-volume intimacy verb ('whispers in the wind/dark/night'); flagged across both lyric and prose AI-tell lists for its hollow atmospheric function.","I hear you whisper / softly in the night",,"rhyme:common"
"echoes / echoes of …","word","both","atmosphere word","high","Suno; Udio; ChatGPT; r/SunoAI","Named directly in Suno Wiki community list; 'echoes' is the model's favorite way to gesture at memory/atmosphere. Vague, moody, and content-free — a classic AI texture word.","Echoes of a love that used to be",,"genre:edm-pop; genre:folk-indie"
"echoes / echoing","word","both","atmospheric filler","high","r/SunoAI; Suno Wiki","Generic atmospheric filler the model drops in to sound evocative without committing to a concrete image. r/SunoAI flags it because it shows up verse after verse regardless of subject, signaling predictive-text padding.",,,"suno:giveaways"
"sparks fly","phrase","both","attraction cliché","medium","Suno; Udio","Frozen attraction idiom; flags AI because it's the most-probable way to describe sudden chemistry, used in place of an actual observed reaction.","When you walked in, sparks fly",,"genre:rnb-ballad"
"the masks we wear / taking off the mask","trope","both","authenticity","medium","Suno; Udio; ChatGPT","Hidden-self-as-mask is AI's default authenticity metaphor; 'take off the mask to show the real me' is a complete prefab reveal beat.","Tearing off this mask to show you who I am",,"lyric:tropes"
"chasing shadows / running from the dark","trope","both","avoidance/fear","medium","Suno; Udio; ChatGPT","Shadow/darkness as a pursued or pursuing threat is an AI default for fear and avoidance; the abstract 'shadows' never resolve to a real danger.","I've been chasing shadows all my life",,"lyric:tropes"
"finding my way back home","trope","both","belonging/return","medium","Suno; Udio; ChatGPT","The 'journey home' as resolution is an AI structural default; 'home' is an abstract emotional destination, never a specific place, signaling generic closure.","I'm finding my way back home tonight",,"lyric:tropes"
"weary bones","phrase","both","body/fatigue imagery","high","Suno; Udio","AI pairs 'weary' with body-parts to fake hard-lived experience; 'weary bones' signals exhaustion without any concrete cause or scene.","Rest these weary bones tonight",,"genre:folk-indie"
"shattered / shattered dreams","word","both","breakage cliché","medium","ChatGPT; Suno; Udio","AI's default verb for any loss (shattered dreams/heart/glass/soul); flagged in overused-word lists. Its omnipresence makes it a strong fingerprint.","Picking up my shattered dreams",,"genre:rock-metal"
"Shattered dreams","phrase","both","brokenness cluster","high","Suno; Udio; ChatGPT","Named in multiple AI-cliché lists; 'shattered' + 'dreams' is a fixed collocation the model defaults to for disappointment, with no fresher synonym ever surfacing.","Standing in the ruins of my shattered dreams",,"lyric:openers-closers; genre:folk-indie"
"carrying the weight of the world","trope","both","burden","medium","Suno; Udio; ChatGPT","Atlas-style burden imagery ('weight of the world on my shoulders') is a default depiction of stress the model reaches for instead of a specific pressure. The burden is total and abstract, so it reads as stock heaviness.","Carrying the weight of the world on my shoulders",,"lyric:tropes; lyric:themes"
"moonlight","word","both","celestial light","high","Suno; Udio; claude; claude-3.5-sonnet","The default romantic light source. The zoetic Suno study found 'moon' recurring across genre-unrelated prompts; 'moonlight' is its lyric-ready form, used as generic ambient glow.","Bathed in silver moonlight",,"lyric:atmosphere"
"stars","word","both","celestial light","medium","Suno; Udio","The zoetic analysis lists 'stars' among cross-prompt repeats. The reflexive celestial decoration; 'stars' + 'sky'/'eyes'/'night' are the model's go-to romantic constellation.","A thousand stars fell from the sky",,"lyric:atmosphere"
"breaking the cycle","trope","both","change/growth","medium","Suno; Udio; ChatGPT","AI's go-to abstraction for ending a bad pattern; the 'cycle' is never specified, so it functions as content-free growth-signaling.","I'm breaking the cycle, ending it here",,"lyric:tropes"
"heart of gold","phrase","both","character cliché","low","Verse Nurse","Dead idiom for 'good person'; the model uses it as a ready-made descriptor instead of showing the trait. A greeting-card phrase that signals default output.",,,"suno:giveaways"
"city that never sleeps","phrase","both","city set-dressing cliché","medium","Suno; Udio","Borrowed stock idiom the model inserts for urban atmosphere; flags AI because it's a ready-made phrase used instead of an observed detail of an actual place.","Lost in the city that never sleeps",,"genre:rnb-ballad"
"in the end","phrase","both","closer","low","ChatGPT; Suno; Udio","AI's reflexive summarizing connective bleeding from prose into lyrics. It signals a wrap-up the song hasn't earned and is a known cross-domain ChatGPT tic.","In the end, all that matters is love",,"genre:country"
"blue jeans","word","both","clothing","high","Suno; Udio","The 'girl in tight jeans' bro-country trope flagged in the Bo Burnham / 'pandering' critiques. AI uses jeans as the default way to describe a person it can't actually picture; functions as filler imagery.","Pretty little thing in her tight blue jeans",,"genre:country"
"cowboy boots","word","both","clothing","medium","Suno; Udio","Costume-box signifier AI adds to certify a song as 'country.' Real lyrics rarely mention generic boots; AI does it to check a genre box, often pairing with 'kick up dust' or 'two-step.'","Dust on my cowboy boots from the dance floor",,"genre:country"
"crimson","word","both","color/luxe","medium","Suno; Udio; Verse Nurse; shared","The model's default 'literary red' (crimson sky/tears/love). Like 'velvet', a fancier-than-needed color word it over-reaches for to sound poetic; rare in real casual lyrics.","The crimson sky at dusk",,"lyric:atmosphere; suno:giveaways"
"Through the highs and lows","phrase","both","commitment/journey","medium","Suno; Udio; ChatGPT","Stock 'through everything' commitment phrase; the highs/lows abstraction lets the model promise loyalty without naming any actual hardship.","I'll stand by you through the highs and lows",,"lyric:phrases-love"
"missing piece / completes me","trope","both","completeness trope","medium","Suno; Udio","The 'you complete me' template; AI gravitates to it because it's the canonical way to express need, making the sentiment feel borrowed rather than felt.","You're the missing piece, you complete me",,"genre:rnb-ballad"
"You're the missing piece (of my puzzle)","phrase","both","completion","high","Suno; Udio; ChatGPT","A puzzle/completion metaphor the model reaches for as a variant of 'you complete me'; the jigsaw image is so worn it signals template-filling.","You're the missing piece I've searched my whole life for",,"lyric:phrases-love"
"shame/blame/game","rhyme_pair","both","conflict/regret","medium","","A three-way -ame cluster AI strings together in accusatory verses ('not my shame / take the blame / play your game'); chaining all three signals exhausting the easy rhyme bucket rather than crafting.","It's not my shame / you take the blame / playing your game",,"rhyme:more"
"intertwined / entwined","word","both","connection imagery","high","Verse Nurse","Overwrought word for 'connected'; the model uses it for love/fate themes because it sounds poetic. Rarely chosen by human lyricists, so it stands out as model vocabulary.",,,"suno:giveaways"
"intertwined / tangled","word","both","connection imagery","medium","Verse Nurse","Named AI default tokens ('intertwined,' 'tangled sheets'). The model uses physical-entanglement words as upscale substitutes for 'together,' a recognizable reach for poetic-sounding filler.","Our souls forever intertwined",,"udio:giveaways"
"facing my fears head-on","trope","both","courage","medium","Suno; Udio; ChatGPT","Generic courage beat with the stock intensifier 'head-on'; the fear is left abstract, which is what marks it as model-generated bravado.","I'm facing all my fears head-on tonight",,"lyric:tropes"
"candlelight","word","both","cozy ambiance","medium","Suno; Udio","AI's go-to romantic lighting prop; statistically over-deployed because it rhymes with 'night/right/tonight' and instantly codes 'romance' without the writer choosing a real setting.","By the candlelight we sway",,"genre:folk-indie; genre:rnb-ballad"
"shadows","word","both","darkness","high","ChatGPT; DEV Community; Jack Righteous; Suno; Udio; Verse Nurse; r/udio; shared","Top-tier filler noun the model uses for instant 'depth' or melancholy. Listed as a primary AI token across lyric-fixer tools; its substitute 'silhouettes' is just as much a tell, proving it's mode collapse rather than choice.","Walking through the shadows of my mind",,"lyric:atmosphere; lyric:abstract; genre:rock-metal; genre:edm-pop; udio:giveaways"
"shadows dance","phrase","both","darkness","high","Suno; Udio","Classic AI personification cliché: an inanimate atmospheric noun given a graceful verb. The 'dance' verb is the model's default motion word, so shadows, flames, and lights all 'dance'.","Shadows dance across the wall",,"lyric:atmosphere; genre:rnb-ballad"
"in the dark","phrase","both","darkness","medium","Suno; Udio","All-purpose mood/rhyme anchor ('dark' rhymes with heart/spark/mark); the model leans on it to set intimacy cheaply, so it co-occurs with the heart/spark cluster.","Dancing in the dark with you",,"lyric:atmosphere; genre:rnb-ballad"
"abyss","word","both","darkness/depth","medium","Suno; Udio","Melodrama noun paired with void/darkness. AI's default deep-despair container ('staring into the abyss / edge of the abyss') — mode-collapsed sadness with no concrete cause.","Falling into the abyss",,"lyric:atmosphere; lyric:abstract"
"morning light / first light","phrase","both","dawn imagery","medium","Suno; Udio","AI's default hopeful-renewal image; 'morning light' opens verses as a hope cue regardless of whether the song is about morning at all.","In the morning light I rise",,"genre:folk-indie"
"Burning bridges","phrase","both","dead-metaphor cliché","medium","Suno; Udio; ChatGPT; Jack Righteous","Flagged as 'frequently used, sounds unoriginal.' AI deploys it as default for any falling-out, a dead metaphor that signals stock conflict language rather than a real rupture.","No regrets in the bridges I'm burning",,"lyric:openers-closers; genre:folk-indie; udio:giveaways"
"This is my story / this one's for the ones","opener","both","dedication","medium","Suno; ChatGPT","The model opens with a self-narrating thesis ('this is my story', 'this one's for the dreamers') the way it opens essays with a framing sentence. Announcing the song's theme instead of dramatizing it is an essay-trained habit alien to how rappers start verses.","This is my story, this one's for the ones who doubted me",,"rhyme:rap"
"the world tried to break me but I'm still standing","trope","both","defiance","high","Suno; Udio; ChatGPT","A complete prefab defiance arc (world-as-antagonist + 'still standing' survival proof) that AI drops in verbatim as a triumphant bridge.","You tried to break me but I'm still standing tall",,"lyric:tropes"
"the world tried to break me but I'm still standing","phrase","both","defiance","high","Suno; Udio; ChatGPT","Personifies 'the world' as a vague antagonist and resolves with the stock 'still standing' tag. It packs two clichés (faceless oppressor + survivor pose) into one line, a dense AI tell.","The world tried to break me but I'm still standing tall",,"lyric:phrases-struggle"
"can't keep me down / you can't break me","phrase","both","defiance","medium","Suno; Udio; ChatGPT","Direct-address defiance aimed at an unnamed 'you.' It's a content-free taunt the model deploys as instant attitude; the vagueness of the antagonist is the tell.","Go ahead and try, you can't break me down",,"lyric:phrases-struggle"
"raising my fist to the sky","trope","both","defiance","medium","Suno; Udio; ChatGPT","A stock gesture AI inserts as visual shorthand for defiance/triumph; the raised-fist image is a prefab body-pose that stands in for an actual triumphant moment.","I raise my fist up to the sky and scream",,"lyric:tropes"
"stand tall","phrase","both","defiance","medium","Suno; Udio; ChatGPT","Posture-as-pride cliché that the model pairs reflexively with 'won't back down' and 'face the world.' It's a generic empowerment gesture with no specific stake, a frequent filler in AI bridge sections.","I'll stand tall and face it all on my own",,"lyric:phrases-struggle"
"won't let them dim my light / dim my shine","phrase","both","defiance","medium","Suno; Udio; ChatGPT","Self-as-light-source empowerment built on the same overused light/dark binary. 'My light/my shine' as identity is a frozen pop-anthem move the model copies wholesale.","You'll never dim my light no matter how you try",,"lyric:phrases-struggle"
"Can't live without you","phrase","both","dependence","high","Suno; Udio; ChatGPT","Maximal-dependency cliché flagged across songwriting guides; the model treats it as the default 'I love you strongly' statement, a clear unedited tell.","Baby I can't live without you by my side",,"lyric:phrases-love"
"breathe/leave","rhyme_pair","both","dependence/heartbreak","medium","","Slant rhyme for codependency lines ('can't breathe / when you leave'); AI equates a partner with oxygen as a stock hyperbole, the pairing a reflex for separation anxiety verses.","I can't breathe / when you leave",,"rhyme:more"
"Lost without you","phrase","both","dependence/longing","medium","Suno; Udio; ChatGPT","Explicitly named in human overused-love-line lists; AI emits 'lost without you' as a default ache statement, an idiom rather than felt detail.","Since you left I'm lost without you",,"lyric:phrases-love"
"You're the one that I've been waiting for","phrase","both","destiny/search","medium","Suno; Udio; ChatGPT","A search-fulfilled cliché the model uses to close the 'I found you' arc; the waiting/searching frame is grooved enough to recur identically across songs.","After all this time you're the one that I've been waiting for",,"lyric:phrases-love"
"the fire inside / flame that won't die out","trope","both","determination","medium","Suno; Udio; ChatGPT","An inner 'fire/flame that never dies' is AI's reflexive symbol for unkillable determination; the elemental image substitutes for showing actual persistence.","There's a fire inside that won't burn out",,"lyric:tropes"
